week_number,Order_Year,Total_Orders
1,2015,254
2,2015,427
3,2015,400
4,2015,415
5,2015,436
6,2015,422
7,2015,423
8,2015,393
9,2015,409
10,2015,420
11,2015,404
12,2015,416
13,2015,427
14,2015,433
15,2015,408
16,2015,414
17,2015,437
18,2015,423
19,2015,399
20,2015,458
21,2015,414
22,2015,390
23,2015,423
24,2015,418
25,2015,410
26,2015,416
27,2015,474
28,2015,417
29,2015,420
30,2015,433
31,2015,419
32,2015,426
33,2015,435
34,2015,407
35,2015,394
36,2015,397
37,2015,435
38,2015,423
39,2015,288
40,2015,433
41,2015,334
42,2015,386
43,2015,352
44,2015,371
45,2015,394
46,2015,400
47,2015,392
48,2015,491
49,2015,424
50,2015,417
51,2015,430
52,2015,298
53,2015,171
